match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
3986953827,LeftOneTV,Vega Squadron,85,0,63,2244,528,119429,39,1461,124,4112,0,2656,93,63,39,2421,3190,149368,42,1501,122,17681,1956,2716,135,3674,0
3987055543,Vega Squadron,LeftOneTV,69,0,49,2161,3033,91965,31,1057,105,6148,0,2375,96,63,60,2315,1141,120433,37,827,109,22265,1952,2566,6,2579,0
3987125391,LeftOneTV,Vega Squadron,41,0,48,1909,641,64145,18,755,96,5466,0,2238,73,63,59,2397,5859,84251,37,834,109,20109,1958,2866,206,2189,0
3988046333,Vega Squadron,Wind and Rain,48,2,35,1795,400,77034,25,834,100,1165,1536,2119,107,63,42,2537,8241,112004,51,829,115,13820,1974,2745,226,2554,0
3988166715,Wind and Rain,Vega Squadron,53,63,62,2135,2068,73167,24,669,85,12227,1983,2438,18,51,26,1611,4894,36788,8,574,73,188,1792,1812,98,1678,1
3988642448,Wind and Rain,Alliance,75,63,85,2502,2998,119813,44,1063,116,13227,1831,2865,76,3,32,1926,888,90706,36,855,106,4740,1540,2440,0,2662,1
3988738002,Alliance,Wind and Rain,63,0,48,1823,0,73350,27,889,94,4957,1536,2054,94,63,59,2485,6026,98023,41,887,114,19632,1958,2934,134,2405,0
3989754925,SK-_-'iter,Espada,62,63,43,2028,4987,84771,24,921,104,1866,1830,2499,42,63,54,1774,366,72784,21,721,90,5252,1956,1866,15,2368,1
3989888060,Espada,SK-_-'iter,67,51,54,2269,13657,96528,35,1200,119,4928,1542,3016,126,63,21,2405,2071,147339,51,1006,121,7344,1828,3033,0,2789,0
3990099363,New Guys,The Final Tribe,64,63,49,2586,5438,58311,32,707,92,15604,2047,2840,19,15,25,1309,144,43497,8,368,67,575,4,1650,134,1619,1
3990178856,New Guys,The Final Tribe,99,31,31,2333,3725,108507,40,950,115,17308,1588,2856,57,0,44,1984,613,99899,32,826,108,2967,0,2503,29,2491,1
3990313897,New Guys,SK-_-'iter,34,63,38,1926,1776,37465,15,402,63,11833,1975,1985,14,63,37,1475,2403,44245,7,333,52,1740,1572,1496,110,1206,1
3990376511,New Guys,SK-_-'iter,63,63,41,2293,4830,68974,36,583,85,5719,1983,2793,16,63,19,1467,2040,46374,13,351,66,516,1828,1817,98,1478,1
3992052632,The Final Tribe,Espada,83,8,47,2368,9757,128815,36,1358,124,7986,0,2563,61,63,68,2405,6795,112984,31,1534,124,14454,1540,2745,271,3477,0
3992148233,Espada,The Final Tribe,77,63,53,2342,4079,121912,37,1006,116,8763,1830,2813,40,63,27,1823,7481,113302,18,970,98,5203,1796,1976,179,2650,1
3993919863,Espada,SK-_-'iter,71,63,66,2393,9968,83658,37,898,107,15787,1846,2838,57,56,47,1836,2959,75374,30,778,95,3820,1792,2231,168,2247,1
3993995989,SK-_-'iter,Espada,37,56,29,1698,969,50490,23,614,84,4027,1792,2022,62,63,42,2296,3719,63545,23,778,97,13270,1972,2647,53,1951,0
3995186500,New Guys,Alliance,84,51,53,2328,5427,130259,35,1174,120,17726,1798,2803,45,48,46,2058,2035,85570,23,1119,108,9592,0,2348,56,2839,1
3995327439,New Guys,Alliance,72,63,44,2298,372,102424,34,1056,110,9417,1958,2886,38,59,67,1858,1507,62864,18,732,89,3432,1792,1986,137,2239,1
3995509337,Wind and Rain,Espada,74,63,41,2392,8406,83929,41,968,109,15079,1846,2823,55,37,49,1838,400,99214,24,799,99,4384,1536,2211,159,2419,1
3995620207,Espada,Wind and Rain,86,63,38,2217,235,94698,39,641,105,16285,1972,2656,33,3,54,1896,3019,66271,21,815,88,2261,1540,2041,88,2162,1
3995710363,Wind and Rain,Espada,58,63,52,1836,1901,83271,25,619,85,9637,1975,2215,29,51,67,1636,0,51822,16,553,75,2016,1924,1740,149,1854,1
3996855176,New Guys,Wind and Rain,36,3,31,1938,266,108694,17,1095,109,1441,1540,2339,63,63,37,2696,9754,97012,36,1445,121,15094,1980,3065,91,2746,0
3996994359,Wind and Rain,New Guys,75,63,69,2148,3346,117677,35,733,103,18248,1974,2691,44,19,37,1628,889,63097,17,610,87,1401,1540,1985,152,2092,1
3997139769,Espada,Alliance,81,63,53,2657,15642,120033,42,1148,113,21738,1854,2675,51,0,34,1904,6709,149920,25,1062,111,440,0,2457,185,2788,1
3997260056,Alliance,Espada,114,63,29,2356,14711,188831,52,1416,124,15989,1824,2771,50,51,71,2673,9774,149409,29,1934,125,4997,260,2820,166,3876,1
3997392371,Espada,Alliance,61,2,65,1975,6110,113852,27,796,104,3406,1536,2431,99,63,26,2339,13366,104500,45,728,114,19442,1968,2918,219,2376,0
3998482464,New Guys,Alliance,107,3,52,3058,0,213219,38,2798,125,16180,0,2619,91,56,49,2677,8278,163984,35,2608,125,20005,0,2685,0,4931,1
3998672773,Alliance,New Guys,78,48,43,2103,3777,140621,38,1249,117,12412,384,2199,83,15,14,2622,8067,127383,43,1701,125,16904,32,2793,170,3573,0
3998878020,New Guys,Wind and Rain,33,63,67,2094,3893,50768,23,388,67,18691,2046,1930,17,0,50,1675,2276,40189,10,568,60,896,1024,1674,58,1392,1
3998952076,Wind and Rain,New Guys,110,17,48,2607,8580,231155,55,2148,125,10480,0,2680,120,15,24,2537,10942,206674,48,2054,125,18098,36,2757,50,4808,0
