"dmg_dealt","match_id","start_time","win","hero_id","account_id","leaguename"
24597,3899867571,1526706074,false,48,97590558,"MDL Changsha"
24442,3893538521,1526458262,false,67,97590558,"MDL Changsha"
24364,3743930304,1519132813,true,54,97590558,"ESL One Katowice 2018 powered by Intel"
24286,3549079813,1510083900,true,43,116585378,"DreamLeague season 8"
24270,3549079813,1510083900,true,80,97590558,"DreamLeague season 8"
24238,3457487347,1506011019,true,109,116585378,"SL i-League Invitational Season 3"
24100,3452281745,1505762215,true,45,86799300,"SL i-League Invitational Season 3"
24067,3930149324,1527998114,true,101,116585378,"CHINA DOTA2 SUPER MAJOR"
23918,3883220784,1526097476,true,69,86799300,"GESC: Thailand"
23893,3883462744,1526105398,false,73,116585378,"GESC: Thailand"
23788,3453969307,1505846105,true,22,89117038,"PGL DOTA2 OPEN"
23758,3595430302,1512239515,true,15,97590558,"DreamLeague season 8"
23714,3530018295,1509289388,false,40,86799300,"ESL One Hamburg 2017"
23586,3857948369,1525071766,true,98,97590558,"EPICENTER XL"
23526,3889323628,1526294713,true,80,97590558,"MDL Changsha"
23522,3452281745,1505762215,true,58,97590558,"SL i-League Invitational Season 3"
23508,3530018295,1509289388,false,12,97590558,"ESL One Hamburg 2017"
23499,3592887792,1512139128,true,43,116585378,"DreamLeague season 8"
23411,3796268587,1521826202,true,19,116585378,"Corsair DreamLeague season 9"
23405,3589523352,1511977284,true,103,89117038,"Galaxy Battles: Emerging Worlds"
23254,3465739931,1506355402,true,106,116585378,"PGL DOTA2 OPEN"
23158,3771946947,1520599964,false,72,97590558,"PGL BUCHAREST MAJOR 2018"
23116,3930149324,1527998114,true,56,97590558,"CHINA DOTA2 SUPER MAJOR"
23115,3862694365,1525278196,false,40,87278757,"EPICENTER XL"
23093,3889125363,1526288028,false,53,87278757,"MDL Changsha"
23065,3891494975,1526378382,true,77,97590558,"MDL Changsha"
23006,3698247222,1516870511,true,23,116585378,"ESL One Genting 2018"
22982,3745527313,1519222540,true,15,86799300,"ESL One Katowice 2018 powered by Intel"
22915,3595192440,1512231377,false,80,97590558,"DreamLeague season 8"
22857,3501029072,1507976874,true,106,116585378,"SL i-League Invitational Season 3"
22819,3552645913,1510261680,false,17,116585378,"DreamLeague season 8"
22786,3463848793,1506269411,true,114,116585378,"ESL One Hamburg 2017"
22772,3766752458,1520327331,true,12,97590558,"PGL BUCHAREST MAJOR 2018"
