team,assists,denies,first_blood,gpm,healing,hero_damage,is_radiant,kills,last_hits,match_duration,radiant_winner,total_levels,tower_damage,xpm
20 min afk les,69.75,44.5,134.625,2133.375,11239.5,99189.0,0.375,30.625,871.125,2597.875,0.75,105.0,9649.375,2392.75
ALPHA Red,42.714285714285715,34.42857142857143,179.57142857142858,1861.0,5310.142857142857,63527.28571428572,0.14285714285714285,19.857142857142858,724.8571428571429,2047.857142857143,0.8571428571428571,86.85714285714286,5641.0,2069.0
Alliance,65.57142857142857,43.61904761904762,136.0,2126.190476190476,4944.0952380952385,96730.28571428571,0.38095238095238093,30.285714285714285,991.9047619047619,2612.0476190476193,0.38095238095238093,100.28571428571429,11464.714285714286,2379.4761904761904
BOOM ID,55.714285714285715,43.857142857142854,115.42857142857143,2034.2857142857142,4368.0,79628.42857142857,0.42857142857142855,24.857142857142858,944.4285714285714,2462.8571428571427,0.7142857142857143,100.0,9736.285714285714,2297.5714285714284
Battle Arena Elites,58.57142857142857,47.0,134.57142857142858,1980.142857142857,5092.142857142857,77861.57142857143,0.7142857142857143,24.857142857142858,811.5714285714286,2306.0,0.42857142857142855,99.0,8142.571428571428,2336.4285714285716
BlinkPool,45.76923076923077,51.0,181.53846153846155,2130.769230769231,2104.6923076923076,71876.69230769231,0.6153846153846154,21.53846153846154,1016.8461538461538,2401.3846153846152,0.46153846153846156,98.53846153846153,12072.461538461539,2329.076923076923
Double Dimension,56.90909090909091,48.63636363636363,139.9090909090909,2011.090909090909,4762.636363636364,80294.90909090909,0.5454545454545454,26.181818181818183,830.7272727272727,2296.0,0.18181818181818182,94.63636363636364,6676.545454545455,2299.818181818182
Entity Gaming,54.916666666666664,45.5,73.16666666666667,2037.9166666666667,2496.0,72452.0,0.6666666666666666,24.916666666666668,755.75,2036.4166666666667,0.75,90.08333333333333,9644.833333333334,2261.25
Espada,63.64,50.24,142.24,2123.08,4548.44,93853.28,0.4,27.88,950.76,2544.64,0.6,101.0,9540.68,2352.0
Evil Geniuses,71.94594594594595,50.054054054054056,97.8108108108108,2250.135135135135,6202.189189189189,96211.21621621621,0.6216216216216216,32.648648648648646,857.1351351351351,2314.891891891892,0.5135135135135135,99.83783783783784,10640.432432432432,2511.7297297297296
Fnatic,57.357142857142854,50.392857142857146,157.14285714285714,2153.75,5703.5,84285.92857142857,0.5714285714285714,27.285714285714285,982.6785714285714,2510.214285714286,0.4642857142857143,100.53571428571429,9988.607142857143,2370.25
ForTheDream,33.0,40.5,56.0,1772.5,3522.5,68379.5,1.0,16.0,992.5,2651.5,0.0,97.5,3669.5,1964.0
GangSquad,69.35714285714286,32.42857142857143,83.5,2007.0714285714287,5272.0,92990.71428571429,0.21428571428571427,31.857142857142858,780.1428571428571,2274.0,0.35714285714285715,98.71428571428571,7402.642857142857,2459.9285714285716
Immortals,49.785714285714285,37.285714285714285,157.35714285714286,1860.0,2921.714285714286,76645.85714285714,0.42857142857142855,24.714285714285715,817.2857142857143,2010.9285714285713,0.5714285714285714,91.64285714285714,4594.714285714285,2220.5714285714284
Infamous,12.0,32.0,134.0,1647.0,7746.0,52391.5,0.0,7.5,675.5,1891.5,1.0,74.0,2715.5,1694.5
Invictus Gaming,56.95652173913044,46.56521739130435,153.30434782608697,2030.7826086956522,3851.913043478261,79960.34782608696,0.2608695652173913,24.782608695652176,941.8260869565217,2437.695652173913,0.5217391304347826,100.78260869565217,7080.695652173913,2317.5652173913045
Kaipi,24.0,33.0,63.0,1619.0,2774.0,38862.0,1.0,14.0,461.0,1562.0,0.0,73.0,2114.0,1989.0
Kingdra,40.0,50.6,158.0,1875.8,3876.6,63447.2,0.4,20.2,671.0,2066.2,0.8,86.2,8233.6,2116.0
LGD.Forever Young,59.2,41.0,115.4,1984.8,4045.6,83753.0,0.4,26.4,922.4,2712.2,0.2,104.6,8974.8,2286.8
LeftOneTV,68.54545454545455,57.45454545454545,103.0,2157.3636363636365,3558.0,89704.18181818182,0.7272727272727273,32.09090909090909,926.1818181818181,2506.090909090909,0.45454545454545453,105.54545454545455,9798.454545454546,2528.7272727272725
MEGA-LADA E-sports,76.8,42.8,158.8,2045.0,2161.4,101732.6,0.4,33.6,884.2,2589.6,0.8,100.0,6407.8,2357.2
Midas Club,27.0,61.0,0.0,1396.0,24.0,37764.0,0.0,11.0,300.0,1274.0,1.0,52.0,658.0,1434.0
Mineski,56.78947368421053,38.73684210526316,124.47368421052632,2088.4210526315787,5106.526315789473,85380.63157894737,0.3684210526315789,24.263157894736842,995.0,2548.7368421052633,0.631578947368421,100.57894736842105,8084.9473684210525,2289.0526315789475
New Guys,63.46666666666667,36.13333333333333,104.13333333333334,2209.2,3474.733333333333,97268.86666666667,0.6666666666666666,29.2,1038.3333333333333,2489.6666666666665,0.8,98.93333333333334,11703.4,2478.4666666666667
