match_id,Radiant,Dire,radiant_winner,diff_assists,diff_denies,diff_first_blood,diff_gpm,diff_healing,diff_hero_damage,diff_kills,diff_last_hits,diff_match_duration,diff_total_levels,diff_tower_damage,diff_xpm
4061660411,Fnatic,Team Liquid,0,-13.423529411764704,4.979411764705887,8.052941176470583,-128.294117647059,-1114.7941176470595,-4212.341176470582,-5.461764705882352,186.77058823529399,345.0294117647063,1.0411764705882263,-3960.841176470587,-243.81764705882279
4061662358,Evil Geniuses,VGJ Thunder,1,18.803921568627445,15.563025210084021,-17.229691876750692,230.92436974789916,219.79551820728284,15177.616246498612,8.907563025210088,-61.16526610644257,-40.4621848739489,6.68907563025212,3100.3753501400543,282.7787114845937
4061671194,OG,PSG.LGD,0,1.3619047619047535,-3.8690476190476204,-4.602380952380955,-158.9619047619044,53.60714285714312,9176.128571428548,-1.9285714285714306,-115.78095238095227,62.86428571428587,-5.007142857142867,-1702.1547619047615,-232.28809523809514
4061694810,Mineski,Invictus Gaming,0,2.3450292397660917,-7.985380116959064,-20.304093567251428,60.92105263157873,668.1374269005837,2339.3538011696073,0.3187134502923925,55.88888888888869,93.79239766081855,0.41228070175435505,889.0584795321638,3.1637426900588252
4061721528,OG,PSG.LGD,1,1.3619047619047535,-3.8690476190476204,-4.602380952380955,-158.9619047619044,53.60714285714312,9176.128571428548,-1.9285714285714306,-115.78095238095227,62.86428571428587,-5.007142857142867,-1702.1547619047615,-232.28809523809514
4061742840,Fnatic,Team Liquid,1,-13.423529411764704,4.979411764705887,8.052941176470583,-128.294117647059,-1114.7941176470595,-4212.341176470582,-5.461764705882352,186.77058823529399,345.0294117647063,1.0411764705882263,-3960.841176470587,-243.81764705882279
4061745637,Evil Geniuses,VGJ Thunder,1,18.803921568627445,15.563025210084021,-17.229691876750692,230.92436974789916,219.79551820728284,15177.616246498612,8.907563025210088,-61.16526610644257,-40.4621848739489,6.68907563025212,3100.3753501400543,282.7787114845937
4061766981,Mineski,Invictus Gaming,1,2.3450292397660917,-7.985380116959064,-20.304093567251428,60.92105263157873,668.1374269005837,2339.3538011696073,0.3187134502923925,55.88888888888869,93.79239766081855,0.41228070175435505,889.0584795321638,3.1637426900588252
4061802430,OpTic Gaming,Virtus.pro,0,-16.82789855072464,0.9293478260869534,25.324275362318815,-128.65760869565202,-1431.751811594203,-4920.490942028962,-6.655797101449281,-56.574275362318645,-165.78985507246398,-6.3496376811594075,-2487.9746376811618,-190.66485507246398
4061804100,VGJ Storm,Vici Gaming,1,13.950000000000003,6.4272727272727295,36.77272727272728,305.8772727272726,-365.8954545454553,13804.55454545455,5.9272727272727295,149.0727272727272,98.0090909090909,6.900000000000006,4178.745454545454,244.80000000000018
4061815647,Team Secret,Team Serenity,0,19.535087719298247,-2.6864035087719103,-6.842105263157876,110.68859649122828,3325.9298245614045,24431.252192982472,4.78508771929825,119.0526315789474,443.0328947368421,9.732456140350877,2399.1359649122805,30.046052631579187
4061848287,TNC Predator,Newbee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4061858332,VGJ Storm,Vici Gaming,1,13.950000000000003,6.4272727272727295,36.77272727272728,305.8772727272726,-365.8954545454553,13804.55454545455,5.9272727272727295,149.0727272727272,98.0090909090909,6.900000000000006,4178.745454545454,244.80000000000018
4061867364,OpTic Gaming,Virtus.pro,0,-16.82789855072464,0.9293478260869534,25.324275362318815,-128.65760869565202,-1431.751811594203,-4920.490942028962,-6.655797101449281,-56.574275362318645,-165.78985507246398,-6.3496376811594075,-2487.9746376811618,-190.66485507246398
4061880066,Team Secret,Team Serenity,1,19.535087719298247,-2.6864035087719103,-6.842105263157876,110.68859649122828,3325.9298245614045,24431.252192982472,4.78508771929825,119.0526315789474,443.0328947368421,9.732456140350877,2399.1359649122805,30.046052631579187
4061903681,TNC Predator,Newbee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4061921764,Invictus Gaming,Evil Geniuses,0,-23.888888888888893,-1.1349206349206256,74.30158730158726,-233.07142857142844,-2577.230158730158,-13008.103174603195,-11.1984126984127,111.15873015873035,156.23015873015902,-3.404761904761884,-3732.01587301587,-310.30158730158746
4061922574,Winstrike,Mineski,0,-8.360902255639097,6.1203007518796895,-17.616541353383454,-150.46867167919777,-2066.240601503759,-9117.964912280688,-1.4536340852130323,-204.9047619047618,-360.593984962406,-10.15037593984961,-132.42355889724513,-114.57644110275714
4061924528,PSG.LGD,VGJ Thunder,0,0.8705882352941146,9.955882352941174,-2.0558823529411683,259.55294117647054,-877.5735294117649,3110.5352941176534,4.264705882352942,77.28235294117644,-83.32647058823477,5.267647058823556,5065.720588235295,268.63823529411775
4061952570,OG,Team Liquid,0,-5.838095238095242,-1.1690476190476176,-24.252380952380946,-69.76190476190459,-1903.6428571428569,1991.0285714285565,-3.4785714285714278,64.91904761904766,113.21428571428578,-1.7571428571428669,-977.8047619047611,-180.93809523809477
4061971770,Evil Geniuses,Invictus Gaming,0,23.888888888888893,1.1349206349206256,-74.30158730158726,233.07142857142844,2577.230158730158,13008.103174603195,11.1984126984127,-111.15873015873035,-156.23015873015902,3.404761904761884,3732.01587301587,310.30158730158746
4061977166,Mineski,Winstrike,1,8.360902255639097,-6.1203007518796895,17.616541353383454,150.46867167919777,2066.240601503759,9117.964912280688,1.4536340852130323,204.9047619047618,360.593984962406,10.15037593984961,132.42355889724513,114.57644110275714
