"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
640,2427,7,0,31375,712,8,6,31375,590,3204934571,1495796329,false,13,111620041,"Masters Manila 2017"
638,4778,11,0,12351,777,4,0,12351,214,3082348123,1490667547,true,74,111620041,"Dota 2 Asia Championships 2017"
638,1637,15,0,42336,692,16,2,42336,686,3209586889,1495976000,true,106,111620041,"Masters Manila 2017"
637,2171,8,0,14264,543,12,5,14264,143,3033099678,1488575538,true,74,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
635,604,9,0,33469,535,15,2,33469,402,3209829498,1495982581,true,106,111620041,"Masters Manila 2017"
635,144,11,0,30432,527,16,5,30432,188,2932903146,1485121529,true,106,111620041,"Dota Pit League Season Five"
634,6590,10,0,27674,683,5,2,27674,404,3082594701,1490680425,true,25,111620041,"Dota 2 Asia Championships 2017"
633,2815,14,0,37578,660,18,5,37578,462,3352505678,1501725151,true,9,111620041,"The International 2017"
632,1754,8,0,24681,607,7,1,24681,414,2823643177,1480888714,true,76,111620041,"The Boston Major 2016"
632,1122,11,0,17001,629,9,1,17001,253,2932144938,1485093586,true,39,111620041,"Dota Pit League Season Five"
629,4511,14,0,32836,568,7,9,32836,240,3033148738,1488578346,true,70,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
629,1007,11,0,47326,717,15,6,47326,638,3202675514,1495697395,true,13,111620041,"Masters Manila 2017"
628,1864,7,0,15523,608,13,4,15523,315,2790305415,1479602991,true,8,111620041,"The Summit 5"
624,782,16,0,23750,558,10,0,23750,159,3226270493,1496653435,true,7,111620041,"EPICENTER: Moscow Season 2"
622,381,8,0,19076,515,12,0,19076,164,3357974421,1501955545,true,7,111620041,"The International 2017"
621,7219,9,0,28997,812,15,1,28997,476,3094763500,1491184907,true,94,111620041,"Dota 2 Asia Championships 2017"
620,1741,5,0,25480,616,12,5,25480,491,2756113153,1478279662,false,11,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
618,416,8,0,13856,519,9,1,13856,194,3226368413,1496657044,true,17,111620041,"EPICENTER: Moscow Season 2"
618,332,15,0,32979,505,10,5,32979,323,3296169019,1499336209,false,106,111620041,"2017 Mars Dota 2 League"
617,1045,14,0,24227,503,14,2,24227,168,3353989523,1501788067,true,7,111620041,"The International 2017"
616,850,5,0,27605,596,6,4,27605,559,3364409216,1502241969,false,74,111620041,"The International 2017"
613,3283,9,0,16824,647,12,2,16824,230,2754333572,1478222803,true,76,111620041,"Dota Pit League Season Five"
613,46,9,0,21032,666,9,0,21032,172,2932295320,1485097734,true,34,111620041,"Dota Pit League Season Five"
610,212,8,0,26237,597,6,3,26237,431,3209412956,1495970747,false,13,111620041,"Masters Manila 2017"
609,2128,9,0,23652,564,15,2,23652,271,2785210504,1479415655,true,9,111620041,"The Summit 5"
608,431,8,0,17164,499,7,5,17164,268,3352043080,1501693514,false,9,111620041,"The International 2017"
605,8811,11,0,23478,653,9,4,23478,439,2678048298,1475214868,true,8,111620041,"MarsTV Dota 2 League 2016"
604,6142,6,0,10009,651,6,1,10009,239,2763784293,1478561684,true,94,111620041,"Dota Pit League Season Five"
604,3760,7,0,34851,651,10,2,34851,251,2930456403,1485026842,true,39,111620041,"Dota Pit League Season Five"
