"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
9425,15,22756,733,9,1,9943,22756,717,5,3625315335,1513551650,true,61,132851371,"Dota Summit 8"
9388,10,27006,766,28,2,7404,27006,769,13,3563757526,1510767004,true,72,132851371,"DreamLeague season 8"
9374,6,19185,722,6,5,11642,19185,725,9,3492992150,1507578689,true,18,132851371,"DreamLeague season 7"
9256,9,29620,675,5,4,19067,29620,703,20,3147190590,1493485153,true,93,132851371,"Kiev Major"
9251,11,19271,723,14,0,11982,19271,754,4,3744481509,1519158049,true,61,132851371,"ESL One Katowice 2018 powered by Intel"
9236,14,14184,834,15,2,33021,24925,483,2,2065765933,1452333704,true,72,132851371,"The Shanghai Major"
9228,8,29328,787,21,4,15367,33228,672,11,3941608894,1528531620,true,94,132851371,"CHINA DOTA2 SUPER MAJOR"
9200,10,25408,690,33,2,15237,25408,655,21,4065095713,1534543416,true,42,132851371,"The International 2018"
9184,17,16825,642,10,5,17105,20378,614,8,2337306581,1462267370,true,56,132851371,"The Manila Major 2016"
9128,6,17468,689,51,3,17472,17468,715,11,3189341121,1495125259,true,10,132851371,"DreamLeague season 7"
9066,12,23444,765,42,3,10719,23444,691,8,3928234992,1527922866,true,10,132851371,"CHINA DOTA2 SUPER MAJOR"
8964,8,26436,674,19,0,10294,26436,685,12,3857133774,1525022756,true,54,132851371,"EPICENTER XL"
8898,10,43243,753,22,1,17592,48269,710,15,3694623523,1516684059,true,109,132851371,"ESL One Genting 2018"
8876,11,31036,607,18,3,31984,31036,569,11,2829359016,1481128564,true,54,132851371,"The Boston Major 2016"
8799,5,11013,612,20,7,19734,24071,509,14,2463214378,1466939743,true,80,132851371,"The International 2016"
8791,11,16990,533,22,4,17535,16990,663,19,3530486844,1509308688,true,20,132851371,"ESL One Hamburg 2017"
8622,14,34107,681,21,4,23646,34107,688,20,3808843431,1522485175,true,54,132851371,"Dota 2 Asia Championships 2018"
8567,12,12749,652,16,0,8845,12749,588,11,3048503481,1489233560,true,6,132851371,"Kiev Major"
8500,5,30427,508,11,7,34471,30427,516,23,3258445124,1497805168,true,20,132851371,"The Summit 5"
8461,10,14985,706,30,3,15475,19026,648,10,2280823737,1460124861,true,8,132851371,"ProDotA Cup by Azubu.tv"
8453,6,14614,607,5,3,19239,14614,662,14,3605580580,1512731194,true,49,132851371,"2017 Mars Dota 2 League"
8408,18,31794,804,10,4,18483,31794,734,12,3909514591,1527087180,true,52,132851371,"ESL One Birmingham 2018 powered by Intel"
8392,14,22797,701,7,1,11801,22797,680,19,2900041187,1483787700,true,8,132851371,"ESL One Genting 2017"
8386,11,14837,680,4,2,10955,20527,650,7,2063137269,1452246774,true,18,132851371,"The Shanghai Major"
8355,6,16132,653,18,2,8344,16132,615,9,2734691591,1477429152,true,48,132851371,"Dota Pit League Season Five"
8342,6,31616,712,16,4,16611,31616,695,15,2737507041,1477562370,true,48,132851371,"The Boston Major 2016"
8238,9,17614,573,7,2,13774,17614,558,14,2761501729,1478461043,true,63,132851371,"ESL One Frankfurt 2016"
8236,14,27108,755,30,1,19671,27108,719,10,3857361495,1525033874,true,10,132851371,"EPICENTER XL"
8162,6,13537,689,13,2,15119,21039,648,13,2523645512,1469290067,true,10,132851371,"Global Grand Masters by Prodota.eu"
8144,18,29742,872,16,4,18895,53436,597,16,2274494681,1459864815,true,72,132851371,"ESL One Frankfurt 2016"
8126,9,28399,654,5,4,19239,28399,670,18,3148357328,1493540025,true,8,132851371,"Kiev Major"
8092,8,14533,691,16,2,19976,23268,617,9,2409156577,1464944740,true,54,132851371,"The Manila Major 2016"
8007,10,19562,639,11,0,7208,19562,598,11,3065805476,1489954411,true,72,132851371,"ProDotA Cup Series by Azubu.tv"
8005,7,9277,661,24,1,7965,9277,572,6,3775730294,1520769605,true,8,132851371,"PGL BUCHAREST MAJOR 2018"
7998,8,21571,533,14,2,16006,21571,631,14,3750461499,1519477821,true,43,132851371,"ESL One Katowice 2018 powered by Intel"
7994,7,15305,552,18,5,14091,15305,548,17,2760844196,1478440750,true,6,132851371,"ESL One Frankfurt 2016"
7989,3,7302,659,11,2,14697,7302,660,7,3780349967,1521023675,true,8,132851371,"World Electronic Sports Games International"
7938,9,14783,699,13,1,17262,30191,702,12,2489260740,1467946795,true,109,132851371,"Nanyang Championships Season 2"
7934,4,10128,543,12,7,13377,15611,445,12,2530479268,1469556229,true,6,132851371,"Global Grand Masters by Prodota.eu"
7885,13,25402,662,26,5,32823,53813,548,15,2489425593,1467954697,false,109,132851371,"Nanyang Championships Season 2"
7831,9,26672,527,28,5,23175,26672,570,17,3258915301,1497826012,true,59,132851371,"The Summit 5"
7827,9,26332,712,27,6,26881,26332,682,11,3859112825,1525113251,false,95,132851371,"EPICENTER XL"
7793,10,12676,616,14,2,14290,12676,613,13,2927313529,1484914030,true,8,132851371,"Dota Pit League Season Five"
7700,12,25781,606,15,3,20137,25781,559,13,3768548189,1520426928,true,54,132851371,"PGL BUCHAREST MAJOR 2018"
7668,12,34210,557,21,4,25524,34210,630,14,2742296197,1477747898,true,54,132851371,"The Boston Major 2016"
7658,6,13820,749,16,0,4239,19962,659,19,2408914595,1464936046,true,80,132851371,"The Manila Major 2016"
7604,3,15645,752,21,3,11675,18179,568,10,3773950827,1520690648,true,109,132851371,"PGL BUCHAREST MAJOR 2018"
7585,13,21960,678,23,2,18687,26916,588,14,2461049428,1466860925,true,54,132851371,"The International 2016"
7564,9,19186,614,5,2,16753,19186,631,8,3047026684,1489170324,true,54,132851371,"Kiev Major"
7547,16,41140,671,20,3,14565,41140,764,20,3368387319,1502421614,true,94,132851371,"The International 2017"
7539,8,22566,650,8,1,20758,22566,568,17,3046758563,1489161358,true,95,132851371,"Kiev Major"
7536,7,12800,682,13,1,5143,12800,635,10,2751493689,1478095896,true,8,132851371,"ESL One Frankfurt 2016"
7519,10,18242,606,23,0,9160,18242,620,7,3576241375,1511361190,true,54,132851371,"D2CL Season 7"
7512,11,16878,704,16,1,21352,24372,642,8,2463541690,1466948902,true,8,132851371,"The International 2016"
7467,10,86218,650,12,8,39670,86043,567,24,3368158118,1502404357,false,40,132851371,"The International 2017"
7436,15,34833,511,22,4,30412,34833,437,19,2742488657,1477752912,true,54,132851371,"The Boston Major 2016"
7388,8,10514,584,20,2,13575,12352,601,7,1925748715,1447092083,true,59,132851371,"StarLadder | i-League"
7383,12,14777,706,41,0,4626,14777,725,7,3853738369,1524856288,true,10,132851371,"EPICENTER XL"
7349,9,12781,685,8,0,9552,22700,503,5,2021443520,1450792338,true,109,132851371,"ProDotA Cup by Twitch.tv"
7328,4,7569,661,13,1,5693,7569,627,12,3138908078,1493107074,true,8,132851371,"Kiev Major"
7315,17,21953,808,18,2,8779,30195,716,10,2256716228,1459195801,true,72,132851371,"DreamLeague Season 5"
7308,13,28208,693,36,1,11472,31732,647,13,3806880107,1522390943,true,109,132851371,"Dota 2 Asia Championships 2018"
7280,6,24052,688,9,1,21649,25612,885,10,3562093731,1510681226,true,61,132851371,"Dota Summit 8"
7269,13,30065,809,18,1,14236,30065,726,6,3259012549,1497833020,true,1,132851371,"The Summit 5"
7173,12,25352,643,17,0,17010,25352,711,7,3228730870,1496755912,true,18,132851371,"EPICENTER: Moscow Season 2"
7154,2,4395,622,15,0,5038,4217,419,2,2060683250,1452157199,true,77,132851371,"The Shanghai Major"
7129,4,10590,577,9,4,8711,14697,473,13,2069724674,1452450809,true,77,132851371,"The Shanghai Major"
7126,14,22159,619,8,1,15561,27398,621,15,1918703475,1446832952,true,81,132851371,"D2CL Season 6"
7120,4,10568,680,19,1,15961,13982,680,17,2260697384,1459355426,true,72,132851371,"DreamLeague Season 5"
7090,15,19487,684,12,4,27091,29603,689,13,2409012917,1464939730,true,8,132851371,"The Manila Major 2016"
7087,11,16954,608,9,1,10301,16954,554,13,2756266984,1478284503,true,54,132851371,"ASUS ROG DreamLeague Season 6"
7046,5,6642,741,20,0,2012,6642,774,5,2671322845,1474914822,true,1,132851371,"The BTS Series"
7042,11,17519,587,37,1,11218,17519,493,6,3910845348,1527156100,true,10,132851371,"ESL One Birmingham 2018 powered by Intel"
7003,6,16931,676,25,1,7655,16931,656,7,3592614727,1512130979,true,48,132851371,"DreamLeague season 8"
6983,6,16079,579,10,4,17546,16079,650,11,3358299746,1501971354,true,18,132851371,"The International 2017"
6977,16,19242,707,17,2,14620,19242,654,7,3562171562,1510685216,true,18,132851371,"Dota Summit 8"
6936,5,12187,584,29,1,8634,12187,684,11,3616461072,1513196086,true,49,132851371,"Dota Summit 8"
6891,10,20145,728,10,2,7810,21041,700,17,2761136622,1478448460,true,48,132851371,"ESL One Frankfurt 2016"
6891,3,16079,620,13,7,15371,16079,550,14,3867646351,1525520093,true,48,132851371,"EPICENTER XL"
6882,19,20681,757,14,1,13404,20681,760,5,3928337789,1527926691,true,61,132851371,"CHINA DOTA2 SUPER MAJOR"
6864,3,7719,667,10,2,5994,7719,688,6,3467684045,1506441531,true,18,132851371,"AMD SAPPHIRE Dota PIT"
6809,5,11820,686,8,2,4354,11820,572,5,2719226671,1476814623,true,48,132851371,"The Summit 5"
6776,13,18930,661,26,2,15394,25332,584,6,2299087475,1460819770,true,54,132851371,"ProDotA Cup by Azubu.tv"
6699,4,15171,593,22,3,12115,26082,529,13,2462822944,1466928109,true,18,132851371,"The International 2016"
6629,11,14670,564,20,0,4784,15308,566,10,1781681086,1441822295,true,56,132851371,"The Defense Season 5"
6618,2,3608,652,7,2,5798,4669,491,6,2530576649,1469560231,true,6,132851371,"Global Grand Masters by Prodota.eu"
