"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
1508,5,13727,417,1,5,15599,13727,489,23,2963908774,1485965054,true,18,159020918,"ProDotA Cup Series by Azubu.tv"
1485,1,2524,318,6,3,3719,3145,193,3,2290543588,1460476784,false,66,159020918,"ProDotA Cup by Azubu.tv"
1474,6,5272,351,4,3,6121,6429,325,12,2161024350,1455817726,true,68,159020918,"ProDotA Cup by Azubu.tv"
1473,0,4904,356,1,1,4792,4904,434,8,3216267229,1496244275,true,66,159020918,"Uprise Champions Cup: Special"
1460,10,12280,546,7,5,9496,15798,555,9,2144512801,1455202839,true,25,159020918,"ProDotA Cup by Azubu.tv"
1432,2,12877,292,0,3,18641,12877,436,28,3362526195,1502155223,true,60,159020918,"The International 2017"
1388,6,10910,333,6,6,11450,10910,446,19,3514197106,1508578611,true,60,159020918,"PGL DOTA2 OPEN"
1388,1,3120,387,1,2,3160,3480,267,13,2258449474,1459266421,true,66,159020918,"ProDotA Cup by Azubu.tv"
1375,2,7968,325,3,4,7884,7968,337,20,3805388478,1522313285,true,66,159020918,"Dota 2 Asia Championships 2018"
1324,1,9849,316,4,7,13657,9849,406,11,3763798613,1520162081,false,66,159020918,"PGL BUCHAREST MAJOR 2018"
1261,2,8159,285,3,6,13059,8159,384,6,3214350650,1496160525,false,58,159020918,"Uprise Champions Cup: Special"
1255,6,16183,381,6,4,13353,16183,458,19,3574426215,1511268940,true,60,159020918,"D2CL Season 7"
1230,3,10717,376,2,8,22743,10717,423,10,3459564471,1506103730,false,58,159020918,"ESL One Hamburg 2017"
1226,7,15586,382,1,2,10617,17381,594,22,4061802430,1534357787,true,7,159020918,"The International 2018"
1216,0,4004,304,3,6,8863,5154,182,7,2296842093,1460740405,false,66,159020918,"ProDotA Cup by Azubu.tv"
1187,7,16290,355,0,5,14442,16290,516,31,3915279179,1527343117,true,103,159020918,"ESL One Birmingham 2018 powered by Intel"
1180,4,14371,273,3,9,12730,14371,224,12,2767530416,1478720171,false,37,159020918,"D2CL Season 7"
1126,3,6470,298,6,3,11747,6470,422,13,3552339511,1510246501,true,60,159020918,"DreamLeague season 8"
1123,8,5122,461,4,0,2577,4544,305,13,2346236850,1462617302,true,30,159020918,"The Summit 5"
1058,1,4007,273,0,7,12208,4007,266,5,3512362213,1508501110,false,66,159020918,"PGL DOTA2 OPEN"
1007,3,4131,354,1,1,3780,4131,422,15,2991536857,1486824385,true,18,159020918,"Dota 2 Asia Championships 2017"
1005,2,3891,353,2,2,5390,3891,442,17,3943893584,1528623153,true,66,159020918,"CHINA DOTA2 SUPER MAJOR"
998,10,16746,491,4,8,19516,16746,590,10,2860481732,1482249975,true,28,159020918,"ProDotA Cup Series by Azubu.tv"
997,2,4427,198,1,5,6890,4427,173,0,2794434805,1479753246,false,58,159020918,"ProDotA Cup Series by Azubu.tv"
991,1,4697,276,2,6,14593,4697,288,6,3501476143,1507989974,false,58,159020918,"SL i-League Invitational Season 3"
973,7,12325,264,2,9,18175,12325,316,15,3028705314,1488384139,false,18,159020918,"WellPlay Invitational by VitalBet"
971,3,5977,346,3,6,13569,5977,422,17,3743825941,1519128477,true,89,159020918,"ESL One Katowice 2018 powered by Intel"
929,2,5165,417,2,0,7114,5165,358,14,3309341404,1499874637,true,69,159020918,"ProDotA Cup by Azubu"
