"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
3936,11,23308,596,13,1,12813,23308,784,14,3743825941,1519128477,true,58,92423451,"ESL One Katowice 2018 powered by Intel"
3933,15,16863,666,2,5,20876,19438,710,11,2272930153,1459793885,true,81,92423451,"ESL One Frankfurt 2016"
3875,8,11999,601,25,1,8016,16661,605,13,1830199019,1443555872,true,72,92423451,"Nanyang Championships"
3834,3,13312,550,17,2,5749,13312,478,9,3542800810,1509815314,false,53,92423451,"AMD SAPPHIRE Dota PIT"
3781,4,9897,654,9,2,12429,13145,706,8,2360618505,1463162553,true,18,92423451,"SL i-League StarSeries S2"
3771,10,19308,476,13,2,14633,19308,608,14,3461557055,1506182191,true,58,92423451,"ESL One Hamburg 2017"
3747,2,4908,467,18,0,3548,4908,456,4,3459106905,1506089148,true,58,92423451,"ESL One Hamburg 2017"
3723,15,20790,798,5,5,24232,44450,443,18,2078130243,1452784858,true,106,92423451,"StarLadder | i-League"
3708,5,6343,645,12,0,6411,6518,515,8,2099839587,1453572036,true,8,92423451,"Dota Pit League Season Four"
3645,7,13022,416,2,2,14679,13022,468,12,3525706372,1509111555,true,58,92423451,"ESL One Hamburg 2017"
3597,10,15777,686,6,6,27496,25401,443,12,2338153099,1462290790,false,6,92423451,"The Manila Major 2016"
3543,10,19550,528,8,6,16927,24292,614,20,2267665652,1459612793,true,81,92423451,"EPICENTER: Moscow"
3541,15,23435,533,9,2,10355,23435,666,14,3625422067,1513559053,true,79,92423451,"Dota Summit 8"
3529,6,14331,507,17,2,11050,19757,404,8,1932608822,1447415977,true,72,92423451,"The Frankfurt Major 2015"
3506,7,11227,585,3,4,12324,18773,615,17,2337417050,1462270978,true,72,92423451,"The Manila Major 2016"
3502,6,13766,730,28,3,8717,35200,483,8,2065765933,1452333704,false,106,92423451,"The Shanghai Major"
